-agu:-ugaseru
ふく	吹く	ふかす	吹かす
ときめく	ときめく	ときめかす	ときめかす
うごめく	うごめく	うごめかす	うごめかす
うごめく	蠢く	うごめかす	蠢かす
ほのめく	ほのめく	ほのめかす	ほのめかす
ほのめく	仄めく	ほのめかす	仄めかす
ゆらめく	揺らめく	ゆらめかす	揺らめかす
はたらく	働く	はたらかす	働かす
おどろく	驚く	おどろかす	驚かす
とどろく	とどろく	とどろかす	とどろかす
とどろく	轟く	とどろかす	轟かす
かわく	乾く	かわかす	乾かす
わく	わく	わかす	わかす
わく	沸く	わかす	沸かす
わく	湧く	わかす	湧かす
はぐ	はぐ	はがす	はがす
はぐ	剥ぐ	はがす	剥がす
そよぐ	そよぐ	そよがす	そよがす
ゆるぐ	揺るぐ	ゆるがす	揺るがす
さわぐ	騒ぐ	さわがす	騒がす
とぶ	飛ぶ	とばす	飛ばす
しのぶ	しのぶ	しのばす	しのばす
しのぶ	忍ぶ	しのばす	忍ばす
ほころぶ	ほころぶ	ほころばす	ほころばす
ほころぶ	綻ぶ	ほころばす	綻ばす
へこむ	へこむ	へこます	へこます
へこむ	凹む	へこます	凹ます
すむ	すむ	すます	すます
すむ	済む	すます	済ます
すむ	澄む	すます	澄ます
なやむ	悩む	なやます	悩ます
からむ	からむ	からます	からます
からむ	絡む	からます	絡ます
くらむ	くらむ	くらます	くらます
ふくらむ	ふくらむ	ふくらます	ふくらます
ふくらむ	脹らむ	ふくらます	脹らます
ふくらむ	膨らむ	ふくらます	膨らます
くらむ	暗む	くらます	暗ます
くらむ	眩む	くらます	眩ます
まいる	参る	まいらす	参らす
いかる	怒る	いからす	怒らす
とがる	とがる	とがらす	とがらす
とがる	尖る	とがらす	尖らす
きる	切る	きらす	切らす
めぐる	めぐる	めぐらす	めぐらす
めぐる	巡る	めぐらす	巡らす
めぐる	廻る	めぐらす	廻らす
こる	こる	こらす	こらす
こる	凝る	こらす	凝らす
しる	知る	しらす	知らす
そる	そる	そらす	そらす
そる	反る	そらす	反らす
ちる	散る	ちらす	散らす
てる	照る	てらす	照らす
とる	取る	とらす	取らす
おどる	踊る	おどらす	踊らす
おどる	躍る	おどらす	躍らす
なる	鳴る	ならす	鳴らす
つのる	募る	つのらす	募らす
へる	減る	へらす	減らす
しめる	湿る	しめらす	湿らす
-u:-eru
したがう	従う	したがえる	従える
たがう	違う	たがえる	違える
おもいちがう	思い違う	おもいちがえる	思い違える
よみちがう	読み違う	よみちがえる	読み違える
そう	副う	そえる	副える
そう	添う	そえる	添える
かなう	かなう	かなえる	かなえる
かなう	叶う	かなえる	叶える
ととのう	整う	ととのえる	整える
ととのう	調う	ととのえる	調える
おもう	思う	おもえる	思える
おもう	想う	おもえる	想える
そろう	そろう	そろえる	そろえる
そろう	揃う	そろえる	揃える
あく	空く	あける	空ける
あく	開く	あける	開ける
かく	欠く	かける	欠ける	i
さく	裂く	さける	裂ける	i
くじく	くじく	くじける	くじける	i
くじく	挫く	くじける	挫ける	i
はじく	はじく	はじける	はじける	i
はじく	弾く	はじける	弾ける	i
うなずく	うなずく	うなずける	うなずける	i
うなずく	肯く	うなずける	肯ける	i
うなずく	頷く	うなずける	頷ける	i
うなずく	首肯く	うなずける	首肯ける	i
しりぞく	退く	しりぞける	退ける
たく	炊く	たける	炊ける	i
くだく	砕く	くだける	砕ける	i
つく	つく	つける	つける
つく	付く	つける	付ける
つく	就く	つける	就ける
つく	点く	つける	点ける
つく	着く	つける	着ける
つく	附く	つける	附ける
つづく	続く	つづける	続ける
とく	とく	とける	とける	i
とく	溶く	とける	溶ける	i
とく	解く	とける	解ける	i
どく	どく	どける	どける
どく	退く	どける	退ける
とどく	届く	とどける	届ける
ほどく	ほどく	ほどける	ほどける	i
ほどく	解く	ほどける	解ける	i
なく	泣く	なける	泣ける	i
ぬく	抜く	ぬける	抜ける	i
のく	のく	のける	のける
のく	退く	のける	退ける
さばく	さばく	さばける	さばける	i
さばく	捌く	さばける	捌ける	i
ひく	引く	ひける	引ける	i
やぶく	破く	やぶける	破ける	i
そむく	そむく	そむける	そむける
そむく	背く	そむける	背ける
かたむく	傾く	かたむける	傾ける
うつむく	俯く	うつむける	俯ける
むく	むく	むける	むける	i
むく	剥く	むける	剥ける	i
むく	向く	むける	向ける
やく	妬く	やける	妬ける	i
やく	灼く	やける	灼ける	i
やく	焼く	やける	焼ける	i
ひらく	拓く	ひらける	拓ける	i
ひらく	開く	ひらける	開ける	i
かしぐ	かしぐ	かしげる	かしげる
かしぐ	傾ぐ	かしげる	傾げる
そぐ	そぐ	そげる	そげる	i
そぐ	削ぐ	そげる	削げる	i
ぬぐ	脱ぐ	ぬげる	脱げる	i
はぐ	はぐ	はげる	はげる	i
はぐ	剥ぐ	はげる	剥げる	i
もぐ	もぐ	もげる	もげる	i
やわらぐ	和らぐ	やわらげる	和らげる
うつぶす	うつ伏す	うつぶせる	うつ伏せる
うつぶす	俯す	うつぶせる	俯せる
たつ	勃つ	たてる	勃てる
たつ	建つ	たてる	建てる
たつ	立つ	たてる	立てる
たつ	起つ	たてる	起てる
そだつ	育つ	そだてる	育てる
うかぶ	浮かぶ	うかべる	浮かべる
